,,0,0,0,0
condition,,rate_dys_07.,rate_dys_08.,rate_dys_09.,wav_ctl
intl,speaker,,,,
very low,F03,128.6,133.2,132.1,137.2
very low,M01,217.7,225.7,230.4,241.4
very low,M04,131.2,130.8,131.8,138.0
very low,M12,131.8,134.2,133.1,135.9
low,F02,159.5,166.8,167.9,172.1
low,M07,146.1,145.9,147.6,155.0
low,M16,116.1,119.4,124.4,125.8
mid,F04,101.2,104.0,104.2,104.4
mid,M05,132.9,139.6,143.5,144.5
mid,M11,118.9,123.3,124.4,124.8
high,F05,72.0,66.8,60.6,54.9
high,M08,65.4,61.1,62.8,63.6
high,M09,82.3,80.9,80.2,81.5
high,M10,64.5,57.9,54.4,51.0
high,M14,70.4,66.3,70.3,67.8
