,,,"base-independent,validation","base-independent,validation","base-independent,test","base-independent,test","finetune-dys-independent,validation","finetune-dys-independent,validation","finetune-dys-independent,test","finetune-dys-independent,test","finetune-independent,validation","finetune-independent,validation","finetune-independent,test","finetune-independent,test","multitask-independent-high-lr,validation","multitask-independent-high-lr,validation","multitask-independent-high-lr,test","multitask-independent-high-lr,test"
,,,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count
intl,complex_onset,complex_coda,,,,,,,,,,,,,,,,
ctl,False,False,0.6150049358341559,1013.0,0.6313131313131313,990.0,0.8496894409937888,805.0,0.8670212765957447,752.0,0.8529121421520237,1013.0,0.8505050505050505,990.0,0.8489634748272458,1013.0,0.8525252525252526,990.0
ctl,False,True,0.4411764705882353,136.0,0.4277108433734939,166.0,0.8018867924528302,106.0,0.7307692307692307,130.0,0.7794117647058824,136.0,0.7710843373493976,166.0,0.7794117647058824,136.0,0.8253012048192772,166.0
ctl,True,False,0.4146341463414634,82.0,0.4084507042253521,71.0,0.676923076923077,65.0,0.7704918032786885,61.0,0.7439024390243902,82.0,0.7323943661971831,71.0,0.7195121951219512,82.0,0.7323943661971831,71.0
ctl,True,True,0.625,8.0,0.5384615384615384,13.0,0.5714285714285714,7.0,0.5833333333333334,12.0,0.875,8.0,0.6923076923076923,13.0,0.875,8.0,0.5384615384615384,13.0
high,False,False,0.6410256410256411,78.0,0.4901960784313725,51.0,0.8016528925619835,121.0,0.8571428571428571,112.0,0.8974358974358975,78.0,0.7843137254901961,51.0,0.8846153846153846,78.0,0.8235294117647058,51.0
high,False,True,0.3333333333333333,9.0,0.5714285714285714,7.0,0.6428571428571429,14.0,0.4705882352941176,17.0,0.7777777777777778,9.0,0.7142857142857143,7.0,0.8888888888888888,9.0,0.7142857142857143,7.0
high,True,False,0.2,5.0,0.0,2.0,0.3333333333333333,3.0,0.8333333333333334,6.0,0.2,5.0,1.0,2.0,0.4,5.0,1.0,2.0
high,True,True,0.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,1.0,,
hmid,False,False,0.6724137931034483,58.0,0.7101449275362319,69.0,0.868421052631579,114.0,0.8376068376068376,117.0,0.8793103448275862,58.0,0.8405797101449275,69.0,0.8793103448275862,58.0,0.855072463768116,69.0
hmid,False,True,0.3,10.0,0.0909090909090909,11.0,0.8571428571428571,14.0,0.75,16.0,0.7,10.0,0.5454545454545454,11.0,0.7,10.0,0.7272727272727273,11.0
hmid,True,False,0.3333333333333333,9.0,1.0,6.0,0.7777777777777778,18.0,0.8181818181818182,11.0,0.5555555555555556,9.0,1.0,6.0,0.6666666666666666,9.0,1.0,6.0
hmid,True,True,0.0,1.0,,,,,1.0,1.0,0.0,1.0,,,0.0,1.0,,
low,False,False,0.6,70.0,0.5961538461538461,52.0,0.8306451612903226,124.0,0.8571428571428571,126.0,0.8285714285714286,70.0,0.7692307692307693,52.0,0.8857142857142857,70.0,0.7884615384615384,52.0
low,False,True,0.5454545454545454,11.0,0.4,15.0,0.5652173913043478,23.0,0.9565217391304348,23.0,0.9090909090909092,11.0,0.7333333333333333,15.0,0.9090909090909092,11.0,0.8,15.0
low,True,False,0.75,8.0,0.5555555555555556,9.0,0.6666666666666666,9.0,0.5,4.0,0.875,8.0,0.8888888888888888,9.0,0.75,8.0,0.8888888888888888,9.0
low,True,True,,,,,1.0,1.0,,,,,,,,,,
very low,False,False,0.6233766233766234,77.0,0.6290322580645161,62.0,0.8257575757575758,132.0,0.811965811965812,117.0,0.8701298701298701,77.0,0.8064516129032258,62.0,0.8831168831168831,77.0,0.8387096774193549,62.0
very low,False,True,0.5714285714285714,7.0,0.4166666666666667,12.0,0.625,16.0,0.64,25.0,1.0,7.0,0.5,12.0,1.0,7.0,0.5,12.0
very low,True,False,0.6666666666666666,3.0,0.4,5.0,0.3333333333333333,12.0,0.9090909090909092,11.0,0.6666666666666666,3.0,0.8,5.0,0.6666666666666666,3.0,0.8,5.0
very low,True,True,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0
