,,,"base-zero-shot,validation","base-zero-shot,validation","base-zero-shot,test","base-zero-shot,test","finetune-dys-zero-shot,validation","finetune-dys-zero-shot,validation","finetune-dys-zero-shot,test","finetune-dys-zero-shot,test","finetune-zero-shot,validation","finetune-zero-shot,validation","finetune-zero-shot,test","finetune-zero-shot,test","multitask-zero-shot,validation","multitask-zero-shot,validation","multitask-zero-shot,test","multitask-zero-shot,test"
,,,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count
intl,complex_onset,complex_coda,,,,,,,,,,,,,,,,
ctl,False,False,0.4807692307692308,572,0.4706867671691792,597,0.6695804195804196,572,0.6549413735343383,597,0.6538461538461539,572,0.6532663316582915,597,0.6346153846153846,572,0.6298157453936348,597
ctl,False,True,0.2988505747126437,87,0.2371134020618556,97,0.5632183908045977,87,0.5979381443298969,97,0.5977011494252874,87,0.5567010309278351,97,0.5747126436781609,87,0.5876288659793815,97
ctl,True,False,0.22,50,0.3611111111111111,36,0.46,50,0.5555555555555556,36,0.46,50,0.5555555555555556,36,0.42,50,0.6944444444444444,36
ctl,True,True,0.3333333333333333,6,0.4444444444444444,9,0.3333333333333333,6,0.6666666666666666,9,0.6666666666666666,6,0.6666666666666666,9,0.5,6,0.5555555555555556,9
high,False,False,0.4808454425363276,757,0.4737588652482269,705,0.631439894319683,757,0.6269503546099291,705,0.6301188903566711,757,0.6326241134751773,705,0.6116248348745046,757,0.6226950354609929,705
high,False,True,0.2773109243697479,119,0.3131313131313131,99,0.5294117647058824,119,0.5252525252525253,99,0.5546218487394958,119,0.5050505050505051,99,0.5882352941176471,119,0.5454545454545454,99
high,True,False,0.2181818181818181,55,0.1714285714285714,70,0.4909090909090909,55,0.4571428571428571,70,0.509090909090909,55,0.4428571428571428,70,0.509090909090909,55,0.4142857142857143,70
high,True,True,0.1,10,0.6666666666666666,6,0.3,10,0.6666666666666666,6,0.5,10,0.8333333333333334,6,0.4,10,0.8333333333333334,6
hmid,False,False,0.4700665188470067,451,0.4268585131894484,417,0.6319290465631929,451,0.6498800959232613,417,0.6585365853658537,451,0.6306954436450839,417,0.6452328159645233,451,0.6378896882494005,417
hmid,False,True,0.2461538461538461,65,0.21875,64,0.4923076923076923,65,0.53125,64,0.4461538461538462,65,0.53125,64,0.4923076923076923,65,0.53125,64
hmid,True,False,0.2121212121212121,33,0.2666666666666666,30,0.4545454545454545,33,0.4666666666666667,30,0.4545454545454545,33,0.4666666666666667,30,0.4545454545454545,33,0.5,30
hmid,True,True,0.0,5,0.0,2,0.0,5,0.0,2,0.2,5,0.0,2,0.0,5,0.0,2
low,False,False,0.4399092970521542,441,0.4434589800443459,451,0.6077097505668935,441,0.6607538802660754,451,0.63718820861678,441,0.656319290465632,451,0.6031746031746031,441,0.6341463414634146,451
low,False,True,0.2333333333333333,60,0.1830985915492957,71,0.5833333333333334,60,0.4788732394366197,71,0.6,60,0.4647887323943662,71,0.6333333333333333,60,0.4788732394366197,71
low,True,False,0.119047619047619,42,0.2941176470588235,34,0.3095238095238095,42,0.5,34,0.3571428571428571,42,0.5588235294117647,34,0.3095238095238095,42,0.4705882352941176,34
low,True,True,1.0,1,0.3333333333333333,3,0.0,1,0.6666666666666666,3,1.0,1,0.3333333333333333,3,0.0,1,0.3333333333333333,3
very low,False,False,0.4437086092715231,604,0.4729493891797556,573,0.6192052980132451,604,0.6544502617801047,573,0.6241721854304636,604,0.6631762652705061,573,0.6274834437086093,604,0.6492146596858639,573
very low,False,True,0.3611111111111111,72,0.28,100,0.5555555555555556,72,0.5,100,0.5416666666666666,72,0.53,100,0.5555555555555556,72,0.52,100
very low,True,False,0.3714285714285714,35,0.1707317073170731,41,0.3714285714285714,35,0.4634146341463415,41,0.4,35,0.4390243902439024,41,0.4285714285714285,35,0.4146341463414634,41
very low,True,True,0.2222222222222222,9,0.25,4,0.3333333333333333,9,0.25,4,0.3333333333333333,9,0.25,4,0.3333333333333333,9,0.25,4
